,loss,lr,average_reward,num_buy,num_sell,num_hold
178,2.6371410058345646e-05,0.001,0.005088674835860729,5,11,48
179,1.9228051314712502e-05,0.001,-0.002153125125914812,12,11,41
180,2.4772500182734802e-05,0.001,-0.004168910440057516,8,8,48
181,2.9874481697333977e-05,0.001,-0.002064506057649851,6,11,47
182,4.3143103539478034e-05,0.001,0.0013782709138467908,13,14,37
183,2.863219560822472e-05,0.001,-0.0032101150136440992,10,4,50
184,7.774192454235163e-06,0.001,-0.00023889937438070774,7,7,50
185,2.908804890466854e-05,0.001,0.0002277032472193241,12,14,38
186,2.707334715523757e-05,0.001,0.0039170896634459496,9,12,43
187,5.368976417230442e-05,0.001,0.004396400414407253,17,9,38
188,2.8903677957714535e-05,0.001,0.0012147468514740467,11,7,46
189,2.9869745048927143e-05,0.001,0.003870307933539152,13,6,45
190,3.0998231522971764e-05,0.001,0.006262021139264107,11,8,45
191,2.9487695428542793e-05,0.001,0.0004527997225522995,8,10,46
192,3.350394399603829e-05,0.001,0.004338022321462631,11,13,40
193,2.596344711491838e-05,0.001,0.003268635366111994,8,12,44
194,2.194035187130794e-05,0.001,0.004774829838424921,9,11,44
195,1.208254434459377e-05,0.001,-0.0010014876024797559,8,10,46
196,1.6458543541375548e-05,0.001,-0.0003336765803396702,12,8,44
197,2.8349444619379938e-05,0.001,0.002644765190780163,6,10,48
198,6.384848347806837e-06,0.001,-0.0006341448752209544,11,7,46
199,2.791593942674808e-06,0.001,-6.343028508126736e-05,7,5,52
200,1.9262033674749546e-05,0.001,0.001438073581084609,6,15,43
201,8.842840543366037e-06,0.001,0.003481406718492508,8,14,42
202,8.391391929762904e-06,0.001,-0.0005603432073257864,7,10,47
203,1.1871473361679818e-05,0.001,0.002358856610953808,12,7,45
204,2.0008685169159435e-05,0.001,9.320152457803488e-05,9,9,46
205,1.3304710591910407e-05,0.001,0.00068692397326231,10,10,44
206,2.203313670179341e-05,0.001,0.002663617255166173,15,9,40
207,2.069474976451602e-05,0.001,-0.001181113300845027,8,11,45
208,1.9766863260883838e-05,0.001,-0.002217189408838749,8,8,48
209,3.155970262014307e-05,0.001,0.0022170725278556347,13,9,42
210,1.3970287000120152e-05,0.001,-0.0004984355764463544,10,7,47
211,3.854144324577646e-06,0.001,-0.0004836100270040333,6,9,49
212,1.4541932614520192e-05,0.001,0.0015186198288574815,9,13,42
213,7.944544449856039e-06,0.001,-0.004992619156837463,8,9,47
214,3.0824794521322474e-05,0.001,-0.0023613148368895054,12,12,40
215,7.056753020151518e-06,0.001,-0.0002389121218584478,10,9,45
216,1.3404337551037315e-05,0.001,-0.0005769794806838036,10,4,50
217,2.1336731151677668e-05,0.001,-0.0007637739181518555,9,6,49
218,1.7897680663736537e-05,0.001,-0.0008879752131178975,11,8,45
219,2.975731149490457e-06,0.001,-0.0009734616032801569,7,12,45
220,1.024190441967221e-05,0.001,-0.000823203707113862,5,8,51
221,6.77244952385081e-06,0.001,0.0027021539863198996,8,6,50
222,1.1821368389064446e-05,0.001,-0.0030348398722708225,12,7,45
